tbm_node_id,component,local_x_m,local_y_m,local_z_m,normal_x,normal_y,normal_z
92,front_shield,-0.5,-2.5390110582618304,3.0258755503199635,0.0,-0.6427876096865394,0.766044443118978
93,front_shield,-0.5,-3.025875550319963,2.539011058261831,0.0,-0.7660444431189779,0.6427876096865395
94,front_shield,-0.5,-3.420800344948533,1.9749999999999999,0.0,-0.8660254037844387,0.49999999999999994
95,front_shield,-0.5,-3.711785852104338,1.3509795661363921,0.0,-0.9396926207859083,0.3420201433256689
96,front_shield,-0.5,-3.889990624398222,0.6859103017843763,0.0,-0.984807753012208,0.1736481776669307
97,front_shield,-0.5,-3.95,4.837354856632045e-16,0.0,-1.0,1.2246467991473532e-16
98,front_shield,-0.5,-3.889990624398222,-0.6859103017843736,0.0,-0.9848077530122081,-0.17364817766693003
99,front_shield,-0.5,-3.7117858521043385,-1.3509795661363913,0.0,-0.9396926207859084,-0.34202014332566866
100,front_shield,-0.5,-3.4208003449485336,-1.974999999999999,0.0,-0.8660254037844388,-0.4999999999999997
101,front_shield,-0.5,-3.0258755503199635,-2.5390110582618304,0.0,-0.766044443118978,-0.6427876096865393
102,front_shield,-0.5,-2.539011058261831,-3.025875550319963,0.0,-0.6427876096865395,-0.7660444431189779
103,front_shield,-0.5,-1.9750000000000019,-3.420800344948532,0.0,-0.5000000000000004,-0.8660254037844384
104,front_shield,-0.5,-1.3509795661363941,-3.7117858521043376,0.0,-0.3420201433256694,-0.9396926207859082
105,front_shield,-0.5,-0.6859103017843748,-3.889990624398222,0.0,-0.17364817766693033,-0.984807753012208
106,front_shield,-0.5,-7.256032284948068e-16,-3.95,0.0,-1.8369701987210297e-16,-1.0
107,front_shield,-0.5,0.6859103017843734,-3.889990624398222,0.0,0.17364817766692997,-0.9848077530122081
108,front_shield,-0.5,1.3509795661363893,-3.711785852104339,0.0,0.34202014332566816,-0.9396926207859085
109,front_shield,-0.5,1.9750000000000005,-3.4208003449485327,0.0,0.5000000000000001,-0.8660254037844386
110,front_shield,-0.5,2.5390110582618304,-3.025875550319964,0.0,0.6427876096865393,-0.7660444431189781
111,front_shield,-0.5,3.0258755503199626,-2.5390110582618313,0.0,0.7660444431189778,-0.6427876096865396
112,front_shield,-0.5,3.420800344948532,-1.9750000000000019,0.0,0.8660254037844384,-0.5000000000000004
113,front_shield,-0.5,3.711785852104337,-1.3509795661363944,0.0,0.9396926207859081,-0.34202014332566943
114,front_shield,-0.5,3.889990624398222,-0.6859103017843751,0.0,0.984807753012208,-0.1736481776669304
115,front_shield,-1.0,3.95,0.0,0.0,1.0,0.0
116,front_shield,-1.0,3.889990624398222,0.6859103017843748,0.0,0.984807753012208,0.17364817766693033
117,front_shield,-1.0,3.7117858521043385,1.3509795661363915,0.0,0.9396926207859084,0.3420201433256687
118,front_shield,-1.0,3.420800344948533,1.9749999999999999,0.0,0.8660254037844387,0.49999999999999994
119,front_shield,-1.0,3.0258755503199635,2.5390110582618304,0.0,0.766044443118978,0.6427876096865393
120,front_shield,-1.0,2.5390110582618304,3.0258755503199635,0.0,0.6427876096865394,0.766044443118978
121,front_shield,-1.0,1.9750000000000005,3.4208003449485327,0.0,0.5000000000000001,0.8660254037844386
122,front_shield,-1.0,1.350979566136392,3.711785852104338,0.0,0.3420201433256688,0.9396926207859083
123,front_shield,-1.0,0.6859103017843752,3.889990624398222,0.0,0.17364817766693041,0.984807753012208
124,front_shield,-1.0,2.4186774283160225e-16,3.95,0.0,6.123233995736766e-17,1.0
125,front_shield,-1.0,-0.6859103017843747,3.889990624398222,0.0,-0.1736481776669303,0.984807753012208
126,front_shield,-1.0,-1.3509795661363915,3.7117858521043385,0.0,-0.3420201433256687,0.9396926207859084
127,front_shield,-1.0,-1.9749999999999992,3.420800344948533,0.0,-0.4999999999999998,0.8660254037844387
128,front_shield,-1.0,-2.5390110582618304,3.0258755503199635,0.0,-0.6427876096865394,0.766044443118978
129,front_shield,-1.0,-3.025875550319963,2.539011058261831,0.0,-0.7660444431189779,0.6427876096865395
130,front_shield,-1.0,-3.420800344948533,1.9749999999999999,0.0,-0.8660254037844387,0.49999999999999994
131,front_shield,-1.0,-3.711785852104338,1.3509795661363921,0.0,-0.9396926207859083,0.3420201433256689
132,front_shield,-1.0,-3.889990624398222,0.6859103017843763,0.0,-0.984807753012208,0.1736481776669307
133,front_shield,-1.0,-3.95,4.837354856632045e-16,0.0,-1.0,1.2246467991473532e-16
134,front_shield,-1.0,-3.889990624398222,-0.6859103017843736,0.0,-0.9848077530122081,-0.17364817766693003
135,front_shield,-1.0,-3.7117858521043385,-1.3509795661363913,0.0,-0.9396926207859084,-0.34202014332566866
136,front_shield,-1.0,-3.4208003449485336,-1.974999999999999,0.0,-0.8660254037844388,-0.4999999999999997
137,front_shield,-1.0,-3.0258755503199635,-2.5390110582618304,0.0,-0.766044443118978,-0.6427876096865393
138,front_shield,-1.0,-2.539011058261831,-3.025875550319963,0.0,-0.6427876096865395,-0.7660444431189779
139,front_shield,-1.0,-1.9750000000000019,-3.420800344948532,0.0,-0.5000000000000004,-0.8660254037844384
140,front_shield,-1.0,-1.3509795661363941,-3.7117858521043376,0.0,-0.3420201433256694,-0.9396926207859082
141,front_shield,-1.0,-0.6859103017843748,-3.889990624398222,0.0,-0.17364817766693033,-0.984807753012208
142,front_shield,-1.0,-7.256032284948068e-16,-3.95,0.0,-1.8369701987210297e-16,-1.0
143,front_shield,-1.0,0.6859103017843734,-3.889990624398222,0.0,0.17364817766692997,-0.9848077530122081
144,front_shield,-1.0,1.3509795661363893,-3.711785852104339,0.0,0.34202014332566816,-0.9396926207859085
145,front_shield,-1.0,1.9750000000000005,-3.4208003449485327,0.0,0.5000000000000001,-0.8660254037844386
146,front_shield,-1.0,2.5390110582618304,-3.025875550319964,0.0,0.6427876096865393,-0.7660444431189781
147,front_shield,-1.0,3.0258755503199626,-2.5390110582618313,0.0,0.7660444431189778,-0.6427876096865396
148,front_shield,-1.0,3.420800344948532,-1.9750000000000019,0.0,0.8660254037844384,-0.5000000000000004
149,front_shield,-1.0,3.711785852104337,-1.3509795661363944,0.0,0.9396926207859081,-0.34202014332566943
150,front_shield,-1.0,3.889990624398222,-0.6859103017843751,0.0,0.984807753012208,-0.1736481776669304
151,front_shield,-1.5,3.95,0.0,0.0,1.0,0.0
152,front_shield,-1.5,3.889990624398222,0.6859103017843748,0.0,0.984807753012208,0.17364817766693033
153,front_shield,-1.5,3.7117858521043385,1.3509795661363915,0.0,0.9396926207859084,0.3420201433256687
154,front_shield,-1.5,3.420800344948533,1.9749999999999999,0.0,0.8660254037844387,0.49999999999999994
155,front_shield,-1.5,3.0258755503199635,2.5390110582618304,0.0,0.766044443118978,0.6427876096865393
